initial_mutation,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
1.0000,0.2229000000,0.5000080400,0.9748796900,27.37,100
0.9000,0.2169000000,0.4951141100,0.9748362800,26.89,100
0.8000,0.2116000000,0.4804482800,0.9749491700,26.47,100
0.7000,0.2079000000,0.4558912400,0.9747365700,25.97,100
0.6000,0.2007000000,0.4216001800,0.9751602100,26.15,100
0.5000,0.1884000000,0.3774289300,0.9750830500,24.98,100
0.4000,0.1775000000,0.3236076800,0.9748620000,23.92,100
0.3000,0.1645000000,0.2598847300,0.9749978600,23.19,100
0.2000,0.1597000000,0.1864734500,0.9750422200,23.26,100
0.1000,0.1554000000,0.1030693000,0.9750156100,22.31,100
0.0000,0.0100000000,0.0000000000,0.0000000000,7.9049180327868855,305
