initial_similarity,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
1.0000,0.0100000000,0.0000000000,0.0000000000,8.433333333333334,300
0.9000,0.0787000000,0.0954359200,0.1838097100,19.32,100
0.8000,0.1189000000,0.1808612700,0.3491632500,21.49,100
0.7000,0.1410000000,0.2560468900,0.4947695500,22.97,100
0.6000,0.1655000000,0.3213418500,0.6196339100,24.49,100
0.5000,0.1799000000,0.3762046600,0.7265470200,25.08,100
0.4000,0.1912000000,0.4211715200,0.8138605500,25.86,100
0.3000,0.2031000000,0.4560312500,0.8803970400,25.67,100
0.2000,0.2119000000,0.4808285800,0.9281512300,26.93,100
0.1000,0.2163000000,0.4954697700,0.9561560300,26.59,100
0.0000,0.2230853569,0.4999955019,0.9651598364,27.4275092936803,269
